ACCOUNT_NUMBER,TRADE_ID,CUST_ID,LOAN_TYPE,TRANS_ID,TRANS_DATE,PRICE,QUANTITY,AMOUNT,TRADE_EXECUTION_STATUS,INST_TYPE,EXCHANGE,INDEX_NAME,TRADE_TS,TRADE_TYPE,BUY_SELL_SIDE,TRADER__ID,BROKER_ID,COMMENTS,TRADE_BOOKING_STATE,INTERNAL_TRADE_ID,BOOK_ID,COUNTERPARTY_LE,NOTIONAL_VALUE,INTEREST_RATE,FIXED_RATE,FLOAT_RATE,OPTION_EXPIRY_DATE,OPTION_TYPE,STRIKE_PRICE,BUY_SELL,SETTLEMENT_FREQUENCY,SETTLEMENT_STATUS,SETTLEMENT_CURRENCY,SETTLEMENT_METHOD,MISC_BLOB_1,MISC_BLOB_2,VERSION
29e921945af1700,35a4e913,23d64b32434a670,STATE,7947059,2018-07-04,108.7428,802975,87317749.83,REJECTED,CUSTODIAN,PHLX,STOXX EUROPE,2018-09-29 07:09:06.955,SELL LIMIT,GOVT,167,629,CUST_ID: '23d64b32434a670' PRICE: '108.742800' LOAN_TYPE: 'STATE' EXCHANGE: 'PHLX',CLEARED,603867355,1463334,Barclays,5983624.30,7.73,7.73,5.35,2021-03-23,OTC,98.3789,BUY,MONTHLY,REJECTED,CAD,THIRD PARTY,28f870c68aae580,1a8349240a422b8,1
2bd97a16e74b780,35a4e914,2006f9fe101e410,STATE,7947059,2018-07-04,124.2075,879401,109228199.71,EXECUTED,FEDERAL,ISE,NASDAQ COMP,2018-09-23 04:20:01.791,BUY STOP,BUY SIDE,449,335,CUST_ID: '2006f9fe101e410' PRICE: '124.207500' LOAN_TYPE: 'STATE' EXCHANGE: 'ISE',INITIATED,401011561,9718758,MUFG,7811988.26,10.00,10.00,2.60,2019-12-07,PUT,136.1514,BUY,DAILY,HOLD,USD,THIRD PARTY,23989beaca13c50,16f26fff3868665,1
2846ba3feb31cb0,35a4e915,175c7cc83628850,LOAN_DAILY_BAL,6383789,2018-09-16,119.8359,1799356,215627481.48,BOOKED,BANK,NSX,STOXX EUROPE,2018-09-28 10:17:03.765,BUY LIMIT,INST,732,88,CUST_ID: '175c7cc83628850' PRICE: '119.835920' LOAN_TYPE: 'LOAN_DAILY_BAL' EXCHANGE: 'NSX',CLEARED,551926961,7243412,Bradesco,168923.26,8.97,8.97,6.87,2021-02-22,ETC,71.1591,SUSPEND,QUARTERLY,DONE,CHF,THIRD PARTY,1dbfb1f88144d14,273c1e40b656720,1
1ac308c023b8bac,35a4e916,273445e18463490,CORP,8630277,2018-08-06,152.0121,272078,41359148.14,REJECTED,CLEARING HOUSE,CME,DOW JONES TRANSPORT,2018-09-25 09:57:30.445,STOP,BUY SIDE,448,495,CUST_ID: '273445e18463490' PRICE: '152.012100' LOAN_TYPE: 'CORP' EXCHANGE: 'CME',INITIATED,744216606,5541355,JP Morgan,9154912.02,8.38,8.38,12.38,2019-01-15,OTC,161.1086,HOLD,QUARTERLY,REJECTED,JPY,DIRECT,17df3b02068f16f,2051a3397aa90f8,1
263cc8a941b3700,35a4e917,218d415e6e5a378,CORP,8630277,2018-08-06,183.9484,236220,43452291.05,BOOKED,BANK,CME,DOW JONES IND,2018-09-28 01:37:16.826,BUY STOP,GOVT,383,348,CUST_ID: '218d415e6e5a378' PRICE: '183.948400' LOAN_TYPE: 'CORP' EXCHANGE: 'CME',INITIATED,494638651,4804062,Morgan Stanley,5651604.73,10.07,10.07,2.03,2019-08-06,CALL,190.0162,SELL,WEEKLY,HOLD,USD,ELECTRONIC,18ac52e899a2e70,1dcddea9597d540,1
1c6420a980fc1b4,35a4e918,27df5d7ac69c170,CORP,8630277,2018-08-06,73.0440,885674,64693171.66,REJECTED,BROKER,CHX,DOW JONES IND,2018-09-27 02:07:31.560,BUY STOP,INST,442,853,CUST_ID: '27df5d7ac69c170' PRICE: '73.044000' LOAN_TYPE: 'CORP' EXCHANGE: 'CHX',CLEARED,170894874,2584673,BNP Paribas,3314605.18,5.50,5.50,8.71,2019-04-06,ETC,76.5584,HOLD,SEMI ANNUAL,CANCELLED,AUD,PHYSICAL,1efcf3e786a3998,2443c5f84069c40,1
1659723abf2763a,35a4e919,23d8216591c25b8,LOAN_DAILY_BAL,702014,2018-07-08,107.2508,1393972,149504610.85,DEFERRED,BROKER,NASDAQ,FTSE WORLD,2018-09-26 11:34:37.016,BUY STOP,BUY SIDE,964,868,CUST_ID: '23d8216591c25b8' PRICE: '107.250799' LOAN_TYPE: 'LOAN_DAILY_BAL' EXCHANGE: 'NASDAQ',CLEARED,137846911,8226542,Bank of China,5554262.10,6.70,6.70,12.45,2018-10-26,ETC,118.0697,SUSPEND,SEMI ANNUAL,HOLD,EUR,ELECTRONIC,24058efd29beca8,1d93882d0f79adc,1
23fa6413f2addd0,35a4e91a,1d87a2cf991676c,TIPS,3092514,2018-08-07,164.6341,93456,15386044.45,IN PROCESS,FEDERAL,BSE,STOXX EUROPE,2018-09-23 02:42:37.423,BUY LIMIT,INST,532,818,CUST_ID: '1d87a2cf991676c' PRICE: '164.634100' LOAN_TYPE: 'TIPS' EXCHANGE: 'BSE',CLEARED,298732664,3016929,TD,163584.47,7.73,7.73,3.34,2019-07-18,CALL,148.1113,SUSPEND,ANNUAL,CANCELLED,GBP,ELECTRONIC,19fdede57e86f8c,1863aa4b2d0d134,1
280409b8486fe70,35a4e91a,22db453952b3890,CD,8694856,2018-07-12,46.0438,286021,13169493.72,BOOKED,BANK,CHX,FTSE WORLD,2018-09-23 02:42:37.423,MARKET,THIRD PARTY,648,804,CUST_ID: '22db453952b3890' PRICE: '46.043800' LOAN_TYPE: 'CD' EXCHANGE: 'CHX',REVIEW,837279438,6469131,TD,9419789.90,7.65,7.65,2.82,2020-07-16,ETC,49.2308,BUY,MONTHLY,CANCELLED,SEK,ELECTRONIC,21fce9e94e2ab60,288f77c21d85dd0,1
267a7ba917e4d90,35a4e91a,227c5b8f8fdd650,FEDERAL,8106485,2018-09-25,103.6399,279257,28942167.55,DEFERRED,FEDERAL,PHLX,STOXX EUROPE,2018-09-23 02:42:37.423,SELL STOP,INST,501,668,CUST_ID: '227c5b8f8fdd650' PRICE: '103.639900' LOAN_TYPE: 'FEDERAL' EXCHANGE: 'PHLX',REVIEW,650976708,9905827,Agricultural Bank of China,5100115.76,6.51,6.51,4.03,2020-08-08,ETC,112.4892,HOLD,SEMI ANNUAL,CANCELLED,USD,DIRECT,193bce5a5128a0a,1a3e03f4259bff0,1
23926a0628ebcd8,35a4e91d,1d2e9f40a29bf98,CORP,252276,2018-08-07,187.6374,471331,88439323.38,BOOKED,FEDERAL,NASDAQ,SP500,2018-09-24 05:37:58.559,BUY LIMIT,THIRD PARTY,477,616,CUST_ID: '1d2e9f40a29bf98' PRICE: '187.637400' LOAN_TYPE: 'CORP' EXCHANGE: 'NASDAQ',INITIATED,792829451,5003585,Agricultural Bank of China,3419153.76,3.14,3.14,7.51,2018-12-04,OTC,178.8870,SELL,WEEKLY,DONE,USD,DIRECT,220ad417cb737c8,178fa359853dafb,1
2354515c9d2fdc0,35a4e91e,1b4e4f996a6ea3c,CORP,252276,2018-08-07,137.4756,927613,127524153.74,REJECTED,BROKER,NSX,VIX,2018-09-27 08:27:13.402,BUY LIMIT,SELL SIDE,100,125,CUST_ID: '1b4e4f996a6ea3c' PRICE: '137.475600' LOAN_TYPE: 'CORP' EXCHANGE: 'NSX',CLEARED,506815483,1241518,Chase,8304394.44,4.70,4.70,4.25,2021-05-28,CALL,147.6620,SELL,WEEKLY,CANCELLED,CAD,DIRECT,233131d8cd7b530,1b31e3fd00753a8,1
26baf4c6e1f8350,35a4e91f,23061ab20c92958,CORP,252276,2018-08-07,136.3906,802446,109446091.41,EXECUTED,CLEARING HOUSE,CBOE,RUSSEL MIDCAP,2018-09-25 08:05:55.236,BUY STOP,THIRD PARTY,54,206,CUST_ID: '23061ab20c92958' PRICE: '136.390600' LOAN_TYPE: 'CORP' EXCHANGE: 'CBOE',SUBMITTED,315697922,9528500,Santander,1268166.34,12.55,12.55,9.56,2019-04-14,PUT,137.4694,SUSPEND,DAILY,REJECTED,EUR,PHYSICAL,2abad29773bac50,202f0e780f189d0,1
18194034f38b98d,35a4e920,22fda056fe95a78,CORP,252276,2018-08-07,133.3661,595053,79359897.90,BOOKED,CUSTODIAN,NSX,STOXX EUROPE,2018-09-24 10:18:48.939,STOP,GOVT,315,982,CUST_ID: '22fda056fe95a78' PRICE: '133.366100' LOAN_TYPE: 'CORP' EXCHANGE: 'NSX',CLEARED,377857678,2949776,JP Morgan,4552331.20,10.59,10.59,7.03,2021-05-08,OTC,145.9347,HOLD,MONTHLY,HOLD,MXN,THIRD PARTY,1fbb484f6f0f980,1bc7248640f7dec,1
1b57a0bb938582c,35a4e921,1767610a545b711,LOAN_DAILY_BAL,9994786,2018-07-25,144.7444,2796443,404769466.43,REJECTED,BANK,NYSE,FTSE WORLD,2018-09-23 10:42:12.234,SELL LIMIT,THIRD PARTY,915,994,CUST_ID: '1767610a545b711' PRICE: '144.744401' LOAN_TYPE: 'LOAN_DAILY_BAL' EXCHANGE: 'NYSE',INITIATED,484932777,3234398,Deutsche Bank,2044172.52,9.29,9.29,12.03,2020-08-31,ETC,124.4458,SUSPEND,QUARTERLY,DONE,GBP,THIRD PARTY,1fbf7ab813e1b68,2291927cdc550f8,1
267665593d63470,35a4e922,2b91d7f5cbbe7a0,CD,9253587,2018-09-11,4.4365,509664,2261124.34,CANCELLED,BANK,AMEX,SP500,2018-09-24 05:00:48.507,BUY LIMIT,GOVT,978,879,CUST_ID: '2b91d7f5cbbe7a0' PRICE: '4.436500' LOAN_TYPE: 'CD' EXCHANGE: 'AMEX',INITIATED,404427385,4527050,MUFG,7275196.53,5.01,5.01,3.57,2020-03-03,PUT,4.5453,BUY,MONTHLY,HOLD,SEK,DIRECT,28a23ec3a02d9e0,269194cd51445b0,1
1ebb1c07a5bd150,35a4e923,207573da8fd3060,CD,9253587,2018-09-11,37.4566,847107,31729748.06,REJECTED,BANK,CHX,FTSE WORLD,2018-09-25 04:34:06.590,BUY STOP,GOVT,171,623,CUST_ID: '207573da8fd3060' PRICE: '37.456600' LOAN_TYPE: 'CD' EXCHANGE: 'CHX',INITIATED,841880887,2026713,Credit Suisse,3006921.07,5.81,5.81,4.01,2019-09-03,PUT,35.7204,BUY,SEMI ANNUAL,DONE,AUD,THIRD PARTY,17738deb99a435c,2753df487c9dfc0,1
2227511f5cebba0,35a4e924,21b54042366d2c0,CD,9253587,2018-09-11,151.8065,307146,46626759.25,DEFERRED,CLEARING HOUSE,PHLX,NASDAQ COMP,2018-09-29 08:03:53.185,SELL STOP,INST,748,214,CUST_ID: '21b54042366d2c0' PRICE: '151.806500' LOAN_TYPE: 'CD' EXCHANGE: 'PHLX',REVIEW,653955644,6056124,Agricultural Bank of China,5869115.35,2.71,2.71,6.46,2020-12-21,ETC,135.7415,SUSPEND,WEEKLY,HOLD,JPY,PHYSICAL,17d4c99d73119ea,20f599583d51f68,1
18de661b7c42282,35a4e925,18955e6a2e19dc2,CD,9253587,2018-09-11,12.8282,280740,3601388.87,REJECTED,CUSTODIAN,PHLX,VIX,2018-09-29 07:42:13.305,SELL LIMIT,INST,405,208,CUST_ID: '18955e6a2e19dc2' PRICE: '12.828200' LOAN_TYPE: 'CD' EXCHANGE: 'PHLX',INITIATED,476216632,4951046,China Construction Bank,2207799.64,4.05,4.05,12.84,2021-02-13,ETC,11.6673,BUY,ANNUAL,DONE,CAD,THIRD PARTY,2c1a0dbe34953a0,28626acaa86b930,1
29dfad743e09770,35a4e926,201122d6d50a0e8,LOAN_DAILY_BAL,5056056,2018-07-01,43.3079,1944657,84219020.51,EXECUTED,CLEARING HOUSE,NSX,DOW GLOBAL,2018-09-27 11:13:29.931,STOP,BUY SIDE,553,949,CUST_ID: '201122d6d50a0e8' PRICE: '43.307905' LOAN_TYPE: 'LOAN_DAILY_BAL' EXCHANGE: 'NSX',REVIEW,787577527,8815760,Goldman Sachs,4056938.37,3.96,3.96,10.42,2019-12-04,PUT,45.9425,SUSPEND,QUARTERLY,REJECTED,USD,DIRECT,22209cd81b8a970,202b449f2711530,1
2bbc58e4726aa20,35a4e933,2b2f83b69415770,CD,5056056,2018-08-13,188.4595,547477,103177241.68,IN PROCESS,BROKER,CHX,FTSE WORLD,2018-09-29 03:17:55.469,BUY STOP,THIRD PARTY,990,567,CUST_ID: '2b2f83b69415770' PRICE: '188.459500' LOAN_TYPE: 'CD' EXCHANGE: 'CHX',SUBMITTED,155172755,2096569,Deutsche Bank,6976574.25,8.82,8.82,10.63,2019-03-26,PUT,174.4175,BUY,DAILY,HOLD,USD,PHYSICAL,20c9932f8b84ff8,20a5932e72d7050,1
1db210d5826fa10,35a4e934,17a44c31351f5ca,TIPS,6222115,2018-07-18,193.7722,361476,70043999.77,EXECUTED,FEDERAL,PHLX,DOW JONES TRANSPORT,2018-09-28 12:00:22.350,STOP,THIRD PARTY,659,59,CUST_ID: '17a44c31351f5ca' PRICE: '193.772200' LOAN_TYPE: 'TIPS' EXCHANGE: 'PHLX',CLEARED,821402996,6759441,Citi,5742363.05,10.86,10.86,12.74,2020-02-02,OTC,207.6941,BUY,QUARTERLY,DONE,MXN,THIRD PARTY,28d9e05320b60d0,19c9dbf7a2a442a,1
18194034f38b98d,35a4e935,22fda056fe95a78,TIPS,6222115,2018-07-18,99.0530,224088,22196588.66,EXECUTED,CLEARING HOUSE,PHLX,STOXX EUROPE,2018-09-25 07:02:46.162,SELL LIMIT,GOVT,436,567,CUST_ID: '22fda056fe95a78' PRICE: '99.053000' LOAN_TYPE: 'TIPS' EXCHANGE: 'PHLX',INITIATED,124880035,4657358,UBS,9286294.20,10.61,10.61,11.54,2019-11-21,CALL,109.7051,SUSPEND,DAILY,REJECTED,USD,PHYSICAL,2114001ad28eb88,1a5d374ed63bca8,1
20b5aa99bb42ab0,35a4e936,2c0c6bf6d291aa0,TIPS,6222115,2018-07-18,180.7643,391881,70838094.65,BOOKED,CUSTODIAN,BSE,FTSE WORLD,2018-09-29 09:32:19.519,MARKET,SELL SIDE,826,896,CUST_ID: '2c0c6bf6d291aa0' PRICE: '180.764300' LOAN_TYPE: 'TIPS' EXCHANGE: 'BSE',SUBMITTED,735689771,4565392,Santander,6417024.32,7.08,7.08,10.50,2019-07-31,OTC,163.2650,SELL,ANNUAL,HOLD,GBP,DIRECT,268e0929a95d250,267f1d9fe6e7ec0,1
20b5aa99bb42ab0,35a4e937,2c0c6bf6d291aa0,LOAN_DAILY_BAL,2811655,2018-07-20,166.8418,977445,163078683.08,CANCELLED,BANK,NSX,NASDAQ COMP,2018-09-25 05:27:09.648,STOP,INST,355,168,CUST_ID: '2c0c6bf6d291aa0' PRICE: '166.841800' LOAN_TYPE: 'LOAN_DAILY_BAL' EXCHANGE: 'NSX',SUBMITTED,223935914,1948825,ICBC,7690398.54,8.58,8.58,11.96,2020-07-22,ETC,176.0726,SUSPEND,WEEKLY,CANCELLED,CNY,DIRECT,261fc1670e98fc8,227c54618ae7a80,1
1e2cfca2ea330a8,35a4e938,200ff7d12657958,TIPS,3575592,2018-08-29,39.9453,825543,32976562.80,CANCELLED,BANK,CBOE,DOW GLOBAL,2018-09-26 06:45:53.271,BUY LIMIT,THIRD PARTY,722,297,CUST_ID: '200ff7d12657958' PRICE: '39.945300' LOAN_TYPE: 'TIPS' EXCHANGE: 'CBOE',CLEARED,184270407,406308,Chase,1674923.29,6.19,6.19,5.59,2019-06-02,ETC,44.2546,SUSPEND,MONTHLY,DONE,EUR,PHYSICAL,2488b705bdb25b0,208d4139a5f50c0,1
2280476af10ea70,35a4e938,1f12b3369636ef0,TIPS,3371785,2018-08-06,154.2269,533473,82275887.02,IN PROCESS,CUSTODIAN,NYSE,VIX,2018-09-26 06:45:53.271,SELL STOP,INST,892,143,CUST_ID: '1f12b3369636ef0' PRICE: '154.226900' LOAN_TYPE: 'TIPS' EXCHANGE: 'NYSE',SUBMITTED,349875047,4478450,Bank of China,1606760.84,9.79,9.79,6.91,2021-03-08,PUT,137.2090,SELL,QUARTERLY,DONE,USD,PHYSICAL,2353c2291e35a70,1faf27db67052e8,1
1d722b753fa251c,35a4e938,23e17c122233898,FEDERAL,6383789,2018-06-30,40.8443,116707,4766815.72,REJECTED,STATE,AMEX,DOW JONES TRANSPORT,2018-09-26 06:45:53.271,BUY STOP,THIRD PARTY,713,618,CUST_ID: '23e17c122233898' PRICE: '40.844300' LOAN_TYPE: 'FEDERAL' EXCHANGE: 'AMEX',CLEARED,807935118,2137213,BNP Paribas,9056355.07,12.88,12.88,11.48,2020-03-17,CALL,40.0284,SUSPEND,WEEKLY,HOLD,MXN,PHYSICAL,2a0b8a7c7840fe0,2c2b3901357bb50,1
2c0aaf4f6d58830,35a4e938,1c7b39ccb2e4780,STATE,7030891,2018-08-30,29.3990,47184,1387162.42,BOOKED,STATE,NSX,FTSE WORLD,2018-09-26 06:45:53.271,MARKET,SELL SIDE,125,868,CUST_ID: '1c7b39ccb2e4780' PRICE: '29.399000' LOAN_TYPE: 'STATE' EXCHANGE: 'NSX',CLEARED,133083284,413951,Barclays,1863445.90,8.88,8.88,8.60,2019-02-18,OTC,27.9756,SUSPEND,SEMI ANNUAL,DONE,CAD,PHYSICAL,190195bfbf5aba8,2144688cca901f0,1
163e4980333a6f9,35a4e944,270f81dc4589d50,CORP,8191931,2018-08-29,25.8873,551449,14275525.70,DEFERRED,CUSTODIAN,BSE,SP500,2018-09-24 01:25:07.993,STOP,THIRD PARTY,642,773,CUST_ID: '270f81dc4589d50' PRICE: '25.887300' LOAN_TYPE: 'CORP' EXCHANGE: 'BSE',CLEARED,475983689,5368908,Santander,6581947.01,2.71,2.71,6.43,2018-12-10,OTC,27.4307,BUY,ANNUAL,REJECTED,MXN,THIRD PARTY,2626146e455bdf0,259eba4cd082718,1
29aadc95e90fbc0,35a4e94b,2453d214426e468,STATE,9954503,2018-08-24,26.3473,547303,14419956.33,IN PROCESS,BANK,AMEX,RUSSEL MIDCAP,2018-09-25 02:12:33.396,BUY STOP,SELL SIDE,767,262,CUST_ID: '2453d214426e468' PRICE: '26.347300' LOAN_TYPE: 'STATE' EXCHANGE: 'AMEX',SUBMITTED,711551194,6989433,TD,6350735.43,4.78,4.78,5.04,2020-08-15,PUT,23.6619,HOLD,ANNUAL,CANCELLED,CAD,THIRD PARTY,20922ab789451e8,2054260b6955858,1
2c0aaf4f6d58830,35a4e94b,1c7b39ccb2e4780,CORP,2513007,2018-09-02,183.0880,826908,151396931.90,EXECUTED,CUSTODIAN,NSX,VIX,2018-09-25 02:12:33.396,MARKET,THIRD PARTY,913,307,CUST_ID: '1c7b39ccb2e4780' PRICE: '183.088000' LOAN_TYPE: 'CORP' EXCHANGE: 'NSX',REVIEW,766780500,2879915,Chase,4775120.01,8.30,8.30,12.15,2019-08-16,PUT,183.7063,BUY,QUARTERLY,DONE,SEK,ELECTRONIC,27a9b75639a21b0,28ea508b84de820,1
2a4b0f56fa7c670,35a4e94b,18e7ab05572adc0,FEDERAL,2836832,2018-07-12,108.2137,323073,34960924.70,CANCELLED,BANK,NSX,DOW GLOBAL,2018-09-25 02:12:33.396,MARKET,SELL SIDE,734,327,CUST_ID: '18e7ab05572adc0' PRICE: '108.213700' LOAN_TYPE: 'FEDERAL' EXCHANGE: 'NSX',INITIATED,704607123,932015,UBS,4996943.44,2.90,2.90,6.41,2020-03-07,CALL,117.1884,HOLD,ANNUAL,CANCELLED,USD,ELECTRONIC,17da5a77f3caaf9,1f8297475674378,1
28655216f08fa70,35a4e954,2339816992832b8,STATE,5733086,2018-09-11,4.1397,816604,3380495.58,DEFERRED,BANK,BSE,RUSSEL MIDCAP,2018-09-27 03:10:54.160,BUY STOP,BUY SIDE,514,484,CUST_ID: '2339816992832b8' PRICE: '4.139700' LOAN_TYPE: 'STATE' EXCHANGE: 'BSE',SUBMITTED,285798663,9739054,China Construction Bank,3988254.05,8.72,8.72,2.09,2019-05-19,ETC,4.4715,HOLD,MONTHLY,DONE,SEK,THIRD PARTY,1d680e12ffd67c4,1717903985d8517,1
1cd10f838288c50,35a4e954,1a8a8146600b194,CORP,2929859,2018-08-16,164.6238,107002,17615075.85,BOOKED,BROKER,NYSE,SP500,2018-09-27 03:10:54.160,BUY LIMIT,SELL SIDE,73,671,CUST_ID: '1a8a8146600b194' PRICE: '164.623800' LOAN_TYPE: 'CORP' EXCHANGE: 'NYSE',INITIATED,462463957,3335709,HSBC,1588271.60,2.53,2.53,11.36,2020-11-20,OTC,155.0880,BUY,WEEKLY,HOLD,USD,PHYSICAL,19025ce84b3b7a2,1795a0fdc930071,1
1997bde9cbd1e30,35a4e954,242696728c2cf78,CORP,4942248,2018-08-10,138.7057,955331,132509855.09,EXECUTED,CLEARING HOUSE,NASDAQ,DOW JONES IND,2018-09-27 03:10:54.160,MARKET,GOVT,547,783,CUST_ID: '242696728c2cf78' PRICE: '138.705700' LOAN_TYPE: 'CORP' EXCHANGE: 'NASDAQ',INITIATED,409718138,7267676,Credit Suisse,149698.52,6.04,6.04,12.01,2019-09-28,ETC,141.6727,SELL,MONTHLY,REJECTED,CHF,THIRD PARTY,21f8dc5fe980ca8,1f34197cb4ae170,1
